Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
04/11/2021,04/12/2021,Bowery Bay,BB,8112.35,5150000.00,,894311,RT-qPCR - N1
04/11/2021,04/12/2021,Coney Island,CI,7827.46,4390000.00,,647635,RT-qPCR - N1
04/11/2021,04/12/2021,Hunts Point,HP,6202.83,5620000.00,,781885,RT-qPCR - N1
04/11/2021,04/12/2021,Jamaica Bay,JA,15785.72,7820000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
04/11/2021,04/12/2021,Newtown Creek,NC,5744.24,5420000.00,,1227810,RT-qPCR - N1
04/11/2021,04/12/2021,North River,NR,7847.71,5770000.00,,649549,RT-qPCR - N1
04/11/2021,04/12/2021,Oakwood Beach,OB,6792.67,3470000.00,,243910,RT-qPCR - N1
04/11/2021,04/12/2021,Owls Head,OH,13236.41,8460000.00,,923524,RT-qPCR - N1
04/11/2021,04/12/2021,Port Richmond,PR,10281.56,9120000.00,,224516,RT-qPCR - N1
04/11/2021,04/12/2021,Red Hook,RH,3445.30,2680000.00,,257556,RT-qPCR - N1
04/11/2021,04/12/2021,Rockaway,RK,5307.85,3670000.00,,117991,RT-qPCR - N1
04/11/2021,04/12/2021,Tallman Island,TI,7126.69,4860000.00,,457817,RT-qPCR - N1
04/11/2021,04/12/2021,Wards Island,WI,9935.22,7420000.00,,1173448,RT-qPCR - N1
04/18/2021,04/19/2021,26th Ward,26W,5273.14,3300000.00,,318262,RT-qPCR - N1
04/18/2021,04/19/2021,Bowery Bay,BB,4079.73,1450000.00,,894311,RT-qPCR - N1
04/18/2021,04/19/2021,Coney Island,CI,8295.08,3410000.00,,647635,RT-qPCR - N1
04/18/2021,04/19/2021,Hunts Point,HP,2631.22,1650000.00,,781885,RT-qPCR - N1
04/18/2021,04/19/2021,Jamaica Bay,JA,7918.18,3200000.00,,735054,RT-qPCR - N1
04/18/2021,04/19/2021,Newtown Creek,NC,4298.81,2310000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
04/18/2021,04/19/2021,North River,NR,4000.55,2070000.00,,649549,RT-qPCR - N1
04/18/2021,04/19/2021,Oakwood Beach,OB,8790.91,3700000.00,,243910,RT-qPCR - N1
04/18/2021,04/19/2021,Owls Head,OH,14782.10,5120000.00,,923524,RT-qPCR - N1
04/18/2021,04/19/2021,Port Richmond,PR,10112.08,4740000.00,,224516,RT-qPCR - N1
04/18/2021,04/19/2021,Red Hook,RH,3996.35,1550000.00,,257556,RT-qPCR - N1
04/18/2021,04/19/2021,Rockaway,RK,2779.94,1660000.00,,117991,RT-qPCR - N1
04/18/2021,04/19/2021,Tallman Island,TI,5832.15,3090000.00,,457817,RT-qPCR - N1
04/18/2021,04/19/2021,Wards Island,WI,7965.88,4320000.00,,1173448,RT-qPCR - N1
04/25/2021,04/26/2021,26th Ward,26W,4247.42,3600000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,318262,RT-qPCR - N1
04/25/2021,04/26/2021,Bowery Bay,BB,3343.64,2030000.00,,894311,RT-qPCR - N1
04/25/2021,04/26/2021,Coney Island,CI,6363.63,3070000.00,,647635,RT-qPCR - N1
04/25/2021,04/26/2021,Hunts Point,HP,3596.70,3100000.00,,781885,RT-qPCR - N1
04/25/2021,04/26/2021,Jamaica Bay,JA,6416.92,3050000.00,,735054,RT-qPCR - N1
04/25/2021,04/26/2021,Newtown Creek,NC,2527.50,2010000.00,,1227810,RT-qPCR - N1
04/25/2021,04/26/2021,North River,NR,2559.31,1740000.00,,649549,RT-qPCR - N1
04/25/2021,04/26/2021,Oakwood Beach,OB,14480.99,6400000.00,,243910,RT-qPCR - N1
04/25/2021,04/26/2021,Owls Head,OH,8495.02,3730000.00,,923524,RT-qPCR - N1
04/25/2021,04/26/2021,Port Richmond,PR,4903.05,2870000.00,,224516,RT-qPCR - N1
04/25/2021,04/26/2021,Red Hook,RH,1142.72,676000.00,,257556,RT-qPCR - N1
04/25/2021,04/26/2021,Rockaway,RK,4863.39,2900000.00,,117991,RT-qPCR - N1
04/25/2021,04/26/2021,Tallman Island,TI,3184.86,2120000.00,,457817,RT-qPCR - N1
04/25/2021,04/26/2021,Wards Island,WI,2879.26,2260000.00,,1173448,RT-qPCR - N1
04/27/2021,04/28/2021,26th Ward,26W,11283.26,6910000.00,,318262,RT-qPCR - N1
04/27/2021,04/28/2021,Bowery Bay,BB,4685.03,1690000.00,,894311,RT-qPCR - N1
04/27/2021,04/28/2021,Coney Island,CI,6701.10,2710000.00,,647635,RT-qPCR - N1
04/27/2021,04/28/2021,Hunts Point,HP,2688.44,1620000.00,,781885,RT-qPCR - N1
04/27/2021,04/28/2021,Jamaica Bay,JA,8131.24,3120000.00,,735054,RT-qPCR - N1
04/27/2021,04/28/2021,Newtown Creek,NC,3270.20,1780000.00,,1227810,RT-qPCR - N1
04/27/2021,04/28/2021,North River,NR,2169.55,1150000.00,,649549,RT-qPCR - N1
04/27/2021,04/28/2021,Oakwood Beach,OB,14030.85,5560000.00,,243910,RT-qPCR - N1
04/27/2021,04/28/2021,Owls Head,OH,19810.97,7200000.00,,923524,RT-qPCR - N1
04/27/2021,04/28/2021,Port Richmond,PR,4867.64,2040000.00,,224516,RT-qPCR - N1
04/27/2021,04/28/2021,Red Hook,RH,1540.62,599000.00,,257556,RT-qPCR - N1
04/27/2021,04/28/2021,Rockaway,RK,6181.52,3690000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,117991,RT-qPCR - N1
04/27/2021,04/28/2021,Tallman Island,TI,6567.65,2760000.00,,457817,RT-qPCR - N1
04/27/2021,04/28/2021,Wards Island,WI,5492.58,2910000.00,,1173448,RT-qPCR - N1
05/02/2021,05/03/2021,26th Ward,26W,2215.92,1270000.00,,318262,RT-qPCR - N1
05/02/2021,05/03/2021,Bowery Bay,BB,5190.22,1780000.00,,894311,RT-qPCR - N1
05/02/2021,05/03/2021,Coney Island,CI,3528.26,1490000.00,,647635,RT-qPCR - N1
05/02/2021,05/03/2021,Hunts Point,HP,3519.49,2170000.00,,781885,RT-qPCR - N1
05/02/2021,05/03/2021,Jamaica Bay,JA,2778.85,1070000.00,,735054,RT-qPCR - N1
05/02/2021,05/03/2021,Newtown Creek,NC,11537.04,6040000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
05/02/2021,05/03/2021,North River,NR,2033.86,1090000.00,,649549,RT-qPCR - N1
05/02/2021,05/03/2021,Oakwood Beach,OB,9747.00,3780000.00,,243910,RT-qPCR - N1
05/02/2021,05/03/2021,Owls Head,OH,4244.65,1470000.00,,923524,RT-qPCR - N1
05/02/2021,05/03/2021,Port Richmond,PR,7025.74,2940000.00,,224516,RT-qPCR - N1
05/02/2021,05/03/2021,Red Hook,RH,3418.31,1270000.00,,257556,RT-qPCR - N1
05/02/2021,05/03/2021,Rockaway,RK,8489.11,4800000.00,,117991,RT-qPCR - N1
05/02/2021,05/03/2021,Tallman Island,TI,3139.63,1320000.00,,457817,RT-qPCR - N1
05/02/2021,05/03/2021,Wards Island,WI,6211.47,2700000.00,,1173448,RT-qPCR - N1
05/09/2021,05/10/2021,26th Ward,26W,5093.09,4380000.00,,318262,RT-qPCR - N1
05/09/2021,05/10/2021,Bowery Bay,BB,2060.11,1250000.00,,894311,RT-qPCR - N1
05/09/2021,05/10/2021,Coney Island,CI,4400.40,2170000.00,,647635,RT-qPCR - N1
05/09/2021,05/10/2021,Hunts Point,HP,1790.84,1560000.00,,781885,RT-qPCR - N1
05/09/2021,05/10/2021,Jamaica Bay,JA,2420.74,1170000.00,,735054,RT-qPCR - N1
05/09/2021,05/10/2021,Newtown Creek,NC,1698.38,1370000.00,,1227810,RT-qPCR - N1
05/09/2021,05/10/2021,North River,NR,2390.32,1650000.00,,649549,RT-qPCR - N1
05/09/2021,05/10/2021,Oakwood Beach,OB,9176.44,3910000.00,,243910,RT-qPCR - N1
05/09/2021,05/10/2021,Owls Head,OH,4469.12,2300000.00,,923524,RT-qPCR - N1
05/09/2021,05/10/2021,Port Richmond,PR,2685.76,1620000.00,,224516,RT-qPCR - N1
05/09/2021,05/10/2021,Red Hook,RH,1337.02,813000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,257556,RT-qPCR - N1
05/09/2021,05/10/2021,Rockaway,RK,1025.94,612000.00,,117991,RT-qPCR - N1
05/09/2021,05/10/2021,Tallman Island,TI,2147.16,1250000.00,,457817,RT-qPCR - N1
05/09/2021,05/10/2021,Wards Island,WI,2790.42,2100000.00,,1173448,RT-qPCR - N1
05/11/2021,05/12/2021,26th Ward,26W,2333.31,1370000.00,,318262,RT-qPCR - N1
05/11/2021,05/12/2021,Bowery Bay,BB,2343.41,796000.00,,894311,RT-qPCR - N1
05/11/2021,05/12/2021,Coney Island,CI,3537.23,1430000.00,,647635,RT-qPCR - N1
05/11/2021,05/12/2021,Hunts Point,HP,1979.46,1180000.00,,781885,RT-qPCR - N1
05/11/2021,05/12/2021,Jamaica Bay,JA,1557.24,590000.00,,735054,RT-qPCR - N1
05/11/2021,05/12/2021,Newtown Creek,NC,1279.13,691000.00,,1227810,RT-qPCR - N1
05/11/2021,05/12/2021,North River,NR,1318.88,682000.00,,649549,RT-qPCR - N1
05/11/2021,05/12/2021,Oakwood Beach,OB,5003.71,1950000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
05/11/2021,05/12/2021,Owls Head,OH,3311.13,1130000.00,,923524,RT-qPCR - N1
05/11/2021,05/12/2021,Port Richmond,PR,1618.69,650000.00,,224516,RT-qPCR - N1
05/11/2021,05/12/2021,Red Hook,RH,1703.95,633000.00,,257556,RT-qPCR - N1
05/11/2021,05/12/2021,Rockaway,RK,2171.60,1230000.00,,117991,RT-qPCR - N1
05/11/2021,05/12/2021,Tallman Island,TI,1456.59,699000.00,,457817,RT-qPCR - N1
05/11/2021,05/12/2021,Wards Island,WI,2393.36,1300000.00,,1173448,RT-qPCR - N1
05/16/2021,05/17/2021,26th Ward,26W,1905.84,1090000.00,,318262,RT-qPCR - N1
05/16/2021,05/17/2021,Bowery Bay,BB,1426.86,496000.00,,894311,RT-qPCR - N1
05/16/2021,05/17/2021,Coney Island,CI,2472.83,1020000.00,,647635,RT-qPCR - N1
05/16/2021,05/17/2021,Hunts Point,HP,1282.54,694000.00,,781885,RT-qPCR - N1
05/16/2021,05/17/2021,Jamaica Bay,JA,3534.23,1340000.00,,735054,RT-qPCR - N1
05/16/2021,05/17/2021,Newtown Creek,NC,1592.74,834000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
05/16/2021,05/17/2021,North River,NR,862.31,431000.00,,649549,RT-qPCR - N1
05/16/2021,05/17/2021,Oakwood Beach,OB,3507.15,1300000.00,,243910,RT-qPCR - N1
05/16/2021,05/17/2021,Owls Head,OH,5167.21,1750000.00,,923524,RT-qPCR - N1
05/16/2021,05/17/2021,Port Richmond,PR,1287.61,496000.00,,224516,RT-qPCR - N1
05/16/2021,05/17/2021,Red Hook,RH,681.83,242000.00,,257556,RT-qPCR - N1
05/16/2021,05/17/2021,Rockaway,RK,1076.57,642000.00,,117991,RT-qPCR - N1
05/16/2021,05/17/2021,Tallman Island,TI,2548.71,1050000.00,,457817,RT-qPCR - N1
05/16/2021,05/17/2021,Wards Island,WI,3655.87,1800000.00,,1173448,RT-qPCR - N1
05/18/2021,05/19/2021,26th Ward,26W,1835.00,1030000.00,,318262,RT-qPCR - N1
05/18/2021,05/19/2021,Bowery Bay,BB,4552.85,1580000.00,,894311,RT-qPCR - N1
05/18/2021,05/19/2021,Coney Island,CI,4285.76,1740000.00,,647635,RT-qPCR - N1
05/18/2021,05/19/2021,Hunts Point,HP,1699.10,936000.00,,781885,RT-qPCR - N1
05/18/2021,05/19/2021,Jamaica Bay,JA,3461.23,1290000.00,,735054,RT-qPCR - N1
05/18/2021,05/19/2021,Newtown Creek,NC,3846.39,2060000.00,,1227810,RT-qPCR - N1
05/18/2021,05/19/2021,North River,NR,1244.94,630000.00,,649549,RT-qPCR - N1
05/18/2021,05/19/2021,Oakwood Beach,OB,5970.16,2130000.00,,243910,RT-qPCR - N1
05/18/2021,05/19/2021,Owls Head,OH,5160.82,1830000.00,,923524,RT-qPCR - N1
05/18/2021,05/19/2021,Port Richmond,PR,1596.83,615000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,224516,RT-qPCR - N1
05/18/2021,05/19/2021,Red Hook,RH,1105.86,392000.00,,257556,RT-qPCR - N1
05/18/2021,05/19/2021,Rockaway,RK,358.06,191000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
05/18/2021,05/19/2021,Tallman Island,TI,1535.58,633000.00,,457817,RT-qPCR - N1
05/18/2021,05/19/2021,Wards Island,WI,1626.27,815000.00,,1173448,RT-qPCR - N1
05/23/2021,05/24/2021,26th Ward,26W,8283.87,4860000.00,,318262,RT-qPCR - N1
05/23/2021,05/24/2021,Bowery Bay,BB,2437.88,858000.00,,894311,RT-qPCR - N1
05/23/2021,05/24/2021,Coney Island,CI,1795.57,677000.00,,647635,RT-qPCR - N1
05/23/2021,05/24/2021,Hunts Point,HP,747.00,441000.00,,781885,RT-qPCR - N1
05/23/2021,05/24/2021,Jamaica Bay,JA,507.57,190000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
05/23/2021,05/24/2021,Newtown Creek,NC,771.96,409000.00,,1227810,RT-qPCR - N1
05/23/2021,05/24/2021,North River,NR,664.40,328000.00,,649549,RT-qPCR - N1
05/23/2021,05/24/2021,Oakwood Beach,OB,12070.29,4430000.00,,243910,RT-qPCR - N1
05/23/2021,05/24/2021,Owls Head,OH,1574.26,552000.00,,923524,RT-qPCR - N1
05/23/2021,05/24/2021,Port Richmond,PR,3921.80,1580000.00,,224516,RT-qPCR - N1
05/23/2021,05/24/2021,Red Hook,RH,576.11,204000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
05/23/2021,05/24/2021,Rockaway,RK,2003.44,1070000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,117991,RT-qPCR - N1
05/23/2021,05/24/2021,Tallman Island,TI,648.48,273000.00,,457817,RT-qPCR - N1
05/23/2021,05/24/2021,Wards Island,WI,1016.76,561000.00,,1173448,RT-qPCR - N1
05/25/2021,05/26/2021,26th Ward,26W,964.16,540000.00,,318262,RT-qPCR - N1
05/25/2021,05/26/2021,Bowery Bay,BB,1507.75,525000.00,,894311,RT-qPCR - N1
05/25/2021,05/26/2021,Coney Island,CI,1002.13,411000.00,,647635,RT-qPCR - N1
05/25/2021,05/26/2021,Hunts Point,HP,1323.23,689000.00,,781885,RT-qPCR - N1
05/25/2021,05/26/2021,Jamaica Bay,JA,994.20,367000.00,,735054,RT-qPCR - N1
05/25/2021,05/26/2021,Newtown Creek,NC,1251.50,688000.00,,1227810,RT-qPCR - N1
05/25/2021,05/26/2021,North River,NR,736.62,394000.00,,649549,RT-qPCR - N1
05/25/2021,05/26/2021,Oakwood Beach,OB,11969.10,5150000.00,,243910,RT-qPCR - N1
05/25/2021,05/26/2021,Owls Head,OH,1557.92,599000.00,,923524,RT-qPCR - N1
05/25/2021,05/26/2021,Port Richmond,PR,931.76,343000.00,,224516,RT-qPCR - N1
05/25/2021,05/26/2021,Red Hook,RH,680.75,253000.00,,257556,RT-qPCR - N1
05/25/2021,05/26/2021,Rockaway,RK,3405.64,1820000.00,,117991,RT-qPCR - N1
05/25/2021,05/26/2021,Tallman Island,TI,1356.21,559000.00,,457817,RT-qPCR - N1
05/25/2021,05/26/2021,Wards Island,WI,1527.11,779000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,1173448,RT-qPCR - N1
05/30/2021,05/31/2021,26th Ward,26W,242.75,313000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
05/30/2021,05/31/2021,Bowery Bay,BB,208.14,186000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),894311,RT-qPCR - N1
05/30/2021,05/31/2021,Coney Island,CI,651.55,495000.00,,647635,RT-qPCR - N1
05/30/2021,05/31/2021,Hunts Point,HP,358.98,428000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
05/30/2021,05/31/2021,Jamaica Bay,JA,820.63,510000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,735054,RT-qPCR - N1
05/30/2021,05/31/2021,Newtown Creek,NC,405.66,489000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
05/30/2021,05/31/2021,North River,NR,526.08,511000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
05/30/2021,05/31/2021,Oakwood Beach,OB,982.62,588000.00,,243910,RT-qPCR - N1
05/30/2021,05/31/2021,Owls Head,OH,1378.70,806000.00,,923524,RT-qPCR - N1
05/30/2021,05/31/2021,Port Richmond,PR,261.74,272000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224516,RT-qPCR - N1
05/30/2021,05/31/2021,Red Hook,RH,418.84,347000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),257556,RT-qPCR - N1
05/30/2021,05/31/2021,Rockaway,RK,525.94,413000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
05/30/2021,05/31/2021,Tallman Island,TI,884.88,730000.00,,457817,RT-qPCR - N1
05/30/2021,05/31/2021,Wards Island,WI,432.49,406000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1173448,RT-qPCR - N1
06/01/2021,06/02/2021,26th Ward,26W,1101.50,646000.00,,318262,RT-qPCR - N1
06/01/2021,06/02/2021,Bowery Bay,BB,727.81,262000.00,,894311,RT-qPCR - N1
06/01/2021,06/02/2021,Coney Island,CI,615.89,232000.00,,647635,RT-qPCR - N1
06/01/2021,06/02/2021,Hunts Point,HP,342.45,201000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
06/01/2021,06/02/2021,Jamaica Bay,JA,,,Concentration below Method Limit of Detection,735054,RT-qPCR - N1
06/01/2021,06/02/2021,Newtown Creek,NC,297.83,163000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
06/01/2021,06/02/2021,North River,NR,236.12,125000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),649549,RT-qPCR - N1
06/01/2021,06/02/2021,Oakwood Beach,OB,9972.98,4140000.00,,243910,RT-qPCR - N1
06/01/2021,06/02/2021,Owls Head,OH,2686.20,1010000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,923524,RT-qPCR - N1
06/01/2021,06/02/2021,Port Richmond,PR,210.81,91700.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224516,RT-qPCR - N1
06/01/2021,06/02/2021,Red Hook,RH,2446.04,951000.00,,257556,RT-qPCR - N1
06/01/2021,06/02/2021,Rockaway,RK,737.37,486000.00,,117991,RT-qPCR - N1
06/01/2021,06/02/2021,Tallman Island,TI,,,Concentration below Method Limit of Detection,457817,RT-qPCR - N1
06/01/2021,06/02/2021,Wards Island,WI,1569.57,826000.00,,1173448,RT-qPCR - N1
06/06/2021,06/07/2021,26th Ward,26W,552.31,331000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
06/06/2021,06/07/2021,Bowery Bay,BB,616.59,232000.00,,894311,RT-qPCR - N1
06/06/2021,06/07/2021,Coney Island,CI,841.23,341000.00,,647635,RT-qPCR - N1
06/06/2021,06/07/2021,Hunts Point,HP,669.84,439000.00,,781885,RT-qPCR - N1
06/06/2021,06/07/2021,Jamaica Bay,JA,790.02,308000.00,,735054,RT-qPCR - N1
06/06/2021,06/07/2021,Newtown Creek,NC,556.90,310000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
06/06/2021,06/07/2021,North River,NR,897.95,501000.00,,649549,RT-qPCR - N1
06/06/2021,06/07/2021,Oakwood Beach,OB,3585.55,1500000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
06/06/2021,06/07/2021,Owls Head,OH,1623.27,569000.00,,923524,RT-qPCR - N1
06/06/2021,06/07/2021,Port Richmond,PR,1097.08,734000.00,,224516,RT-qPCR - N1
06/06/2021,06/07/2021,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",257556,RT-qPCR - N1
06/06/2021,06/07/2021,Rockaway,RK,549.70,363000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
06/06/2021,06/07/2021,Tallman Island,TI,1451.36,745000.00,,457817,RT-qPCR - N1
06/06/2021,06/07/2021,Wards Island,WI,1183.80,824000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",1173448,RT-qPCR - N1
06/08/2021,06/09/2021,26th Ward,26W,279.04,298000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
06/08/2021,06/09/2021,Bowery Bay,BB,2298.33,1310000.00,,894311,RT-qPCR - N1
06/08/2021,06/09/2021,Coney Island,CI,1090.20,816000.00,,647635,RT-qPCR - N1
06/08/2021,06/09/2021,Hunts Point,HP,370.55,327000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),781885,RT-qPCR - N1
06/08/2021,06/09/2021,Jamaica Bay,JA,415.26,189000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
06/08/2021,06/09/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1227810,RT-qPCR - N1
06/08/2021,06/09/2021,North River,NR,933.42,740000.00,,649549,RT-qPCR - N1
06/08/2021,06/09/2021,Oakwood Beach,OB,2991.96,1450000.00,,243910,RT-qPCR - N1
06/08/2021,06/09/2021,Owls Head,OH,3160.70,1450000.00,,923524,RT-qPCR - N1
06/08/2021,06/09/2021,Port Richmond,PR,595.20,518000.00,,224516,RT-qPCR - N1
06/08/2021,06/09/2021,Red Hook,RH,,,Concentration below Method Limit of Detection,257556,RT-qPCR - N1
06/08/2021,06/09/2021,Rockaway,RK,457.91,302000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
06/08/2021,06/09/2021,Tallman Island,TI,310.53,183000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
06/08/2021,06/09/2021,Wards Island,WI,356.87,299000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,1173448,RT-qPCR - N1
06/13/2021,06/14/2021,26th Ward,26W,584.48,350000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
06/13/2021,06/14/2021,Bowery Bay,BB,442.76,154000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),894311,RT-qPCR - N1
06/13/2021,06/14/2021,Coney Island,CI,1264.81,512000.00,,647635,RT-qPCR - N1
06/13/2021,06/14/2021,Hunts Point,HP,931.08,499000.00,,781885,RT-qPCR - N1
06/13/2021,06/14/2021,Jamaica Bay,JA,652.72,251000.00,,735054,RT-qPCR - N1
06/13/2021,06/14/2021,Newtown Creek,NC,281.57,152000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,1227810,RT-qPCR - N1
06/13/2021,06/14/2021,North River,NR,1609.01,823000.00,,649549,RT-qPCR - N1
06/13/2021,06/14/2021,Oakwood Beach,OB,4291.09,1700000.00,,243910,RT-qPCR - N1
06/13/2021,06/14/2021,Owls Head,OH,11603.83,3930000.00,,923524,RT-qPCR - N1
06/13/2021,06/14/2021,Port Richmond,PR,1962.10,887000.00,,224516,RT-qPCR - N1
06/13/2021,06/14/2021,Red Hook,RH,1447.06,660000.00,,257556,RT-qPCR - N1
06/13/2021,06/14/2021,Rockaway,RK,849.76,587000.00,,117991,RT-qPCR - N1
06/13/2021,06/14/2021,Tallman Island,TI,502.77,224000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
06/13/2021,06/14/2021,Wards Island,WI,1296.99,723000.00,,1173448,RT-qPCR - N1
06/15/2021,06/16/2021,26th Ward,26W,333.93,200000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),318262,RT-qPCR - N1
06/15/2021,06/16/2021,Bowery Bay,BB,964.39,340000.00,,894311,RT-qPCR - N1
06/15/2021,06/16/2021,Coney Island,CI,582.48,252000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),647635,RT-qPCR - N1
06/15/2021,06/16/2021,Hunts Point,HP,642.30,370000.00,,781885,RT-qPCR - N1
06/15/2021,06/16/2021,Jamaica Bay,JA,261.68,99200.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),735054,RT-qPCR - N1
06/15/2021,06/16/2021,Newtown Creek,NC,180.71,104000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1227810,RT-qPCR - N1
06/15/2021,06/16/2021,North River,NR,975.39,533000.00,,649549,RT-qPCR - N1
06/15/2021,06/16/2021,Oakwood Beach,OB,3554.49,1400000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,243910,RT-qPCR - N1
06/15/2021,06/16/2021,Owls Head,OH,7629.16,2930000.00,,923524,RT-qPCR - N1
06/15/2021,06/16/2021,Port Richmond,PR,565.52,256000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224516,RT-qPCR - N1
06/15/2021,06/16/2021,Red Hook,RH,603.21,245000.00,,257556,RT-qPCR - N1
06/15/2021,06/16/2021,Rockaway,RK,947.96,625000.00,,117991,RT-qPCR - N1
06/15/2021,06/16/2021,Tallman Island,TI,532.20,233000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
06/15/2021,06/16/2021,Wards Island,WI,1145.27,621000.00,,1173448,RT-qPCR - N1
06/20/2021,06/21/2021,26th Ward,26W,830.13,530000.00,,318262,RT-qPCR - N1
06/20/2021,06/21/2021,Bowery Bay,BB,888.52,316000.00,,894311,RT-qPCR - N1
06/20/2021,06/21/2021,Coney Island,CI,,,Concentration below Method Limit of Detection,647635,RT-qPCR - N1
06/20/2021,06/21/2021,Hunts Point,HP,624.24,413000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,781885,RT-qPCR - N1
06/20/2021,06/21/2021,Jamaica Bay,JA,644.29,241000.00,,735054,RT-qPCR - N1
06/20/2021,06/21/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1227810,RT-qPCR - N1
06/20/2021,06/21/2021,North River,NR,1224.46,647000.00,,649549,RT-qPCR - N1
06/20/2021,06/21/2021,Oakwood Beach,OB,2891.74,1090000.00,,243910,RT-qPCR - N1
06/20/2021,06/21/2021,Owls Head,OH,7781.64,2860000.00,,923524,RT-qPCR - N1
06/20/2021,06/21/2021,Port Richmond,PR,1029.22,431000.00,,224516,RT-qPCR - N1
06/20/2021,06/21/2021,Red Hook,RH,1437.31,510000.00,,257556,RT-qPCR - N1
06/20/2021,06/21/2021,Rockaway,RK,216.12,143000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),117991,RT-qPCR - N1
06/20/2021,06/21/2021,Tallman Island,TI,241.03,97300.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),457817,RT-qPCR - N1
06/20/2021,06/21/2021,Wards Island,WI,663.38,418000.00,,1173448,RT-qPCR - N1
